dtregistro;municipio;confirmados;suspeitos;obitos
20-01-2020;Francisco Beltrão;149;284;0
21-01-2020;Francisco Beltrão;136;255;0
22-01-2020;Francisco Beltrão;129;248;2
23-01-2020;Francisco Beltrão;164;312;4
24-01-2020;Francisco Beltrão;134;242;3
25-01-2020;Francisco Beltrão;77;126;2
26-01-2020;Francisco Beltrão;100;197;0
27-01-2020;Francisco Beltrão;178;291;3
28-01-2020;Francisco Beltrão;92;149;3
29-01-2020;Francisco Beltrão;120;217;0
30-01-2020;Francisco Beltrão;106;187;2
31-01-2020;Francisco Beltrão;129;251;0
01-02-2020;Francisco Beltrão;61;122;0
02-02-2020;Francisco Beltrão;181;322;5
03-02-2020;Francisco Beltrão;116;216;2
04-02-2020;Francisco Beltrão;182;294;1
05-02-2020;Francisco Beltrão;142;268;3
06-02-2020;Francisco Beltrão;126;205;3
07-02-2020;Francisco Beltrão;113;193;2
08-02-2020;Francisco Beltrão;165;292;3
09-02-2020;Francisco Beltrão;175;338;1
10-02-2020;Francisco Beltrão;130;237;1
11-02-2020;Francisco Beltrão;182;361;1
12-02-2020;Francisco Beltrão;126;229;2
13-02-2020;Francisco Beltrão;174;287;5
14-02-2020;Francisco Beltrão;182;328;3
15-02-2020;Francisco Beltrão;66;131;1
16-02-2020;Francisco Beltrão;59;102;1
17-02-2020;Francisco Beltrão;135;242;3
18-02-2020;Francisco Beltrão;112;223;2
19-02-2020;Francisco Beltrão;47;77;0
20-02-2020;Francisco Beltrão;132;216;0
21-02-2020;Francisco Beltrão;168;272;1
22-02-2020;Francisco Beltrão;154;296;4
23-02-2020;Francisco Beltrão;134;257;2
24-02-2020;Francisco Beltrão;57;107;1
25-02-2020;Francisco Beltrão;177;321;2
26-02-2020;Francisco Beltrão;66;106;2
27-02-2020;Francisco Beltrão;85;141;3
28-02-2020;Francisco Beltrão;142;275;3
29-02-2020;Francisco Beltrão;149;288;1
01-03-2020;Francisco Beltrão;101;169;1
02-03-2020;Francisco Beltrão;181;360;2
03-03-2020;Francisco Beltrão;176;290;2
04-03-2020;Francisco Beltrão;50;89;1
05-03-2020;Francisco Beltrão;91;167;0
06-03-2020;Francisco Beltrão;108;200;3
07-03-2020;Francisco Beltrão;170;309;2
08-03-2020;Francisco Beltrão;120;211;2
09-03-2020;Francisco Beltrão;147;258;3
10-03-2020;Francisco Beltrão;50;97;1
11-03-2020;Francisco Beltrão;102;194;0
12-03-2020;Francisco Beltrão;170;315;1
13-03-2020;Francisco Beltrão;132;253;1
14-03-2020;Francisco Beltrão;130;247;2
15-03-2020;Francisco Beltrão;89;149;1
16-03-2020;Francisco Beltrão;86;157;1
17-03-2020;Francisco Beltrão;67;122;2
18-03-2020;Francisco Beltrão;91;166;2
19-03-2020;Francisco Beltrão;140;230;3
